"","previousIdentification","scientificName","observation"
"1","Accipiter gentilis","Accipiter gentilis","Ok ITIS"
"2","Accipiter nisus","Accipiter nisus","Ok ITIS"
"3","Acrocephallus scripaceus","Acrocephalus scirpaceus","Checked ITIS"
"4","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Ok ITIS"
"5","Acrocephalus melanopogon","Acrocephalus melanopogon","Ok ITIS"
"6","Acrocephalus paludicola","Acrocephalus paludicola","Ok ITIS"
"7","Acrocephalus palustris","Acrocephalus palustris","Ok ITIS"
"8","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Ok ITIS"
"9","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Ok ITIS"
"10","Actitis hypoleuca","Actitis hypoleucos","Checked ITIS"
"11","Actitis hypoleucos","Actitis hypoleucos","Ok ITIS"
"12","Aegithalos caudatus","Aegithalos caudatus","Ok ITIS"
"13","Aegithatos caudatus","Aegithalos caudatus","Checked ITIS"
"14","Aegolius funereus","Aegolius funereus","Ok ITIS"
"15","Aix galericulata","Aix galericulata","Ok ITIS"
"16","Alauda arvensis","Alauda arvensis","Ok ITIS"
"17","Alcedo atthis","Alcedo atthis","Ok ITIS"
"18","Alopochen aegyptiaca","Alopochen aegyptiaca","Ok ITIS"
"19","Anas acuta","Anas acuta","Ok ITIS"
"20","Anas clypeata","Anas clypeata","Ok ITIS"
"21","Anas crecca","Anas crecca","Ok ITIS"
"22","Anas penelope","Anas penelope","Ok ITIS"
"23","Anas platyrhynchos","Anas platyrhynchos","Ok ITIS"
"24","Anas platyrchynchos","Anas platyrhynchos","Checked ITIS"
"25","Anas querquedula","Anas querquedula","Ok ITIS"
"26","Anas strepera","Anas strepera","Ok ITIS"
"27","Anser albifrons","Anser albifrons","Ok ITIS"
"28","Anser anser","Anser anser","Ok ITIS"
"29","Anser brachyrhynchus","Anser brachyrhynchus","Ok ITIS"
"30","Anser erythropus","Anser erythropus","Ok ITIS"
"31","Anser fabalis","Anser fabalis","Ok ITIS"
"32","Anthus campestris","Anthus campestris","Ok ITIS"
"33","Anthus cervinus","Anthus cervinus","Ok ITIS"
"34","Anthus pratensis","Anthus pratensis","Ok ITIS"
"35","Anthus sp.","Anthus","Checked ITIS"
"36","Anthus spinoletta","Anthus spinoletta","Ok ITIS"
"37","Anthus trivialis","Anthus trivialis","Ok ITIS"
"38","Apus apus","Apus apus","Ok ITIS"
